Empresa;Data;Situacao;Usuario;Solicitação;Nr_nf;Sku;Dt_Preventrega;Pedido;Ds_Prioridade;Ds_Compra;Vl_Solicitacao_Total;Cod_Ccusto;Obs_lin1;Obs_lin2;Obs_lin3;Obs_lin4
1;27/09/2022;APROVADA;1851;604;130135.0;5009296;05/10/2022;12589;ALTA;;20512.52;999;;;;
1;27/09/2022;APROVADA;1851;605;9901.0;5005879;30/09/2022;12542;ALTA;;544.6;999;;;;
1;28/09/2022;APROVADA;1850;606;269895.0;5007922;30/09/2022;12521;NORMAL;;987.0;999;;;;
1;28/09/2022;APROVADA;1852;607;3344.0;5008628;17/10/2022;12719;;;1764.67;999;;;;
1;29/09/2022;APROVADA;1850;613;449250.0;5002431;29/09/2022;12531;ALTA;;1427.5;999;;;;
1;30/09/2022;APROVADA;1850;615;;486233;;;NORMAL;;1362.04;999;ATENCAO PROVIDENCIAR 3 ORCAMENTOS;;;
1;05/10/2022;APROVADA;1852;626;595167.0;5010117;17/10/2022;12710;NORMAL;;212.24;999;;;;
19;05/10/2022;ATENDIDA;1850;629;14548.0;651886;18/10/2022;12750;ALTA;;2697.63;999;ATENCAO COMPRAR SEGUINDO O LINK;;;
13;06/10/2022;APROVADA;1850;630;;5003963;;;NORMAL;;4464.44;999;FAVOR SEGUIR OS LINKS ENVIADO POR EMAIL;;;
1;06/10/2022;APROVADA;1852;633;40123.0;5004834;19/10/2022;12763;NORMAL;;5678.25;302010000;;;;
1;06/10/2022;APROVADA;1850;634;451448.0;5007853;11/10/2022;12642;ALTA;;1446.45;999;;;;
1;06/10/2022;APROVADA;1851;635;4597386.0;5000389;21/10/2022;12732;ALTA;;23546.95;302030000;SOLICITAMOS UMA ATENCAO A COMPRA DOS SACOS DE 100L. UM E REFORCADO E OUTRO NAO;O MODELO CORRETO DO MOP PO E O QUE TEM UM LADO MEIO ABERTO COM FITA;DUVIDA NA COMPRA DE QUALQUER PRODUTO FAVOR FALAR COMIGO;
1;07/10/2022;APROVADA;1850;638;;5004546;;;ALTA;;76.5;999;;;;
1;10/10/2022;APROVADA;1852;642;12653.0;5010136;20/10/2022;12727;NORMAL;;294.0;302010000;;;;
1;13/10/2022;APROVADA;1850;649;1448641.0;5002030;17/10/2022;12713;ALTA;;1496.0;999;;;;
1;13/10/2022;APROVADA;1850;652;452488.0;5008650;14/10/2022;12705;ALTA;;1482.5;999;;;;
1;13/10/2022;APROVADA;1852;653;142499.0;5008309;19/10/2022;12712;ALTA;;2300.74;403050000;;;;
1;14/10/2022;APROVADA;1852;654;42242.0;5005643;14/10/2022;12720;NORMAL;;356.0;403050000;;;;
25;14/10/2022;APROVADA;1850;656;;5002469;;;NORMAL;;414.53;999;;;;
1;14/10/2022;APROVADA;1850;657;142467.0;5003111;20/10/2022;12747;MEDIA;;3378.51;999;;;;
1;14/10/2022;APROVADA;1850;658;1755.0;5001988;24/10/2022;12752;ALTA;;2600.0;999;;;;
19;14/10/2022;APROVADA;1850;659;413196.0;5008118;20/10/2022;12779;ALTA;;478.0;999;;;;
11;17/10/2022;APROVADA;1850;662;;5003690;;;ALTA;;805.5;999;;;;
1;18/10/2022;APROVADA;1852;664;50131.0;5010159;24/10/2022;12796;ALTA;;190.0;403050000;;;;
1;18/10/2022;APROVADA;1850;666;;5001655;20/10/2022;12778;ALTA;;906.43;999;;;;
25;18/10/2022;APROVADA;1850;667;15465.0;5009494;19/10/2022;12786;NORMAL;;343.76;999;MATERIAL JA SE ENCONTRA NA LOJA;;;
1;18/10/2022;APROVADA;1852;668;45265.0;5004280;20/10/2022;12800;MEDIA;;179.8;302010000;;;;
1;20/10/2022;APROVADA;1852;673;42520.0;5006608;21/10/2022;12811;NORMAL;;3369.5;403050000;;;;
1;21/10/2022;APROVADA;1850;679;1448792.0;5003843;21/10/2022;12812;ALTA;;127.6;999;MATERIAL COMPRADO NF 1448792;;;
607;24/10/2022;APROVADA;1850;684;;5005970;;;;;1249.0;999;;;;
1;24/10/2022;APROVADA;1850;685;455974.0;5002862;29/10/2022;12896;ALTA;;49.5;999;COMPRAR NA COR BRANCA;;;
1;24/10/2022;APROVADA;1852;686;455974.0;5005288;29/10/2022;12896;ALTA;;1334.42;403050000;;;;
10;24/10/2022;APROVADA;1850;687;;5004279;;;ALTA;;854.0;999;VIDRO JA SE ENCONTRA EM PRODUCAO;;;
1;24/10/2022;APROVADA;1851;688;429396.0;5003635;28/10/2022;12891;ALTA;;1130.0;302030000;;;;
13;24/10/2022;APROVADA;1850;690;;5003839;;;NORMAL;;549.01;999;PRODUTO JA SOLICITADO COM MAO DE OBRA;;;
1;26/10/2022;APROVADA;1852;692;872077.0;5004464;26/10/2022;12862;ALTA;;9836.69;403050000;;;;
1;26/10/2022;APROVADA;1850;693;1760.0;5001412;26/10/2022;12861;NORMAL;;894.0;999;COMPRADO NF 1760;;;
1;26/10/2022;APROVADA;1853;694;5371.0;5003615;26/10/2022;12863;ALTA;;1407.32;403050000;;;;
1;26/10/2022;APROVADA;1850;696;6371.0;5010187;09/11/2022;13048;NORMAL;;258.0;999;;;;
1;27/10/2022;APROVADA;1850;702;7898.0;5003288;27/10/2022;12879;NORMAL;;2080.0;302010000;;;;
605;27/10/2022;APROVADA;1850;705;;5004238;;;NORMAL;;1980.56;302010000;;;;
607;27/10/2022;APROVADA;1850;708;;5007517;;;NORMAL;;727.27;302010000;;;;
1;28/10/2022;APROVADA;1852;709;42671.0;5009884;28/10/2022;12897;NORMAL;;690.0;403050000;;;;
1;28/10/2022;APROVADA;1851;710;431151.0;5000264;09/11/2022;13044;ALTA;;10755.6;302030000;;;;
1;28/10/2022;APROVADA;1852;711;1759.0;5009913;18/11/2022;12948;ALTA;;15736.0;403050000;;;;
1;31/10/2022;APROVADA;1852;715;41257.0;5005803;01/11/2022;12920;ALTA;;175.1;403050000;;;;
23;01/11/2022;APROVADA;1850;725;;5007517;;;NORMAL;;1105.0;302010000;;;;
13;01/11/2022;APROVADA;1850;726;14827.0;651886;14/11/2022;13104;ALTA;;2697.63;999;;;;
11;01/11/2022;APROVADA;1850;727;14826.0;651886;14/11/2022;13094;NORMAL;;2697.63;999;MODELO VAP 20S SEM TABUA;;;
1;03/11/2022;APROVADA;1851;730;4652339.0;5002774;28/11/2022;13239;ALTA;;17627.76;302030000;;;;
1;03/11/2022;APROVADA;1850;732;1776.0;5010286;09/11/2022;13040;MEDIA;;3620.0;302010000;;;;
1;04/11/2022;APROVADA;1852;736;104.0;5010081;07/11/2022;12977;ALTA;;3094.16;403050000;;;;
1;07/11/2022;APROVADA;1852;751;458349.0;5009358;11/11/2022;13027;ALTA;;4665.84;403050000;;;;
1;08/11/2022;APROVADA;1850;756;5681.0;5001412;17/11/2022;13168;NORMAL;;2430.0;999;;;;
1;08/11/2022;APROVADA;1850;757;63622.0;5003111;21/11/2022;13146;ALTA;;1541.14;999;;;;
2;08/11/2022;APROVADA;1850;759;127.0;5002060;18/11/2022;13153;ALTA;;653.9;999;LINKS POR EMAIL;;;
1;08/11/2022;APROVADA;1850;763;1460127.0;5006931;11/11/2022;13039;ALTA;;2457.25;999;EMAIL;;;
18;09/11/2022;APROVADA;1850;764;;5010159;;;NORMAL;;206.4;999;NF 328 MATERIAL JA INSTALADO;;;
1;09/11/2022;APROVADA;1852;765;110976.0;5005697;21/11/2022;13150;ALTA;;3932.78;403050000;;;;
1;09/11/2022;APROVADA;1850;766;286.0;5003969;09/11/2022;13045;NORMAL;;2940.0;302010000;;;;
14;09/11/2022;APROVADA;1850;768;285.0;5010324;09/11/2022;13047;NORMAL;;980.0;302010000;;;;
1;09/11/2022;APROVADA;1852;769;1458980.0;5008110;14/11/2022;13113;NORMAL;;300.56;403050000;NF 001458980 - MATERIAL JA RECEBIDO;;;
1;09/11/2022;APROVADA;1852;770;56813.0;5001549;10/11/2022;13058;NORMAL;;794.0;403010000;NF 000.056.813 - PRODUTO RETIRADO NA LOJA E JA ENTREGUE.;;;
1;09/11/2022;APROVADA;1852;771;459359.0;5005254;17/11/2022;13145;ALTA;;5399.6;403050000;;;;
1;10/11/2022;APROVADA;1850;773;;5008747;25/11/2022;13243;NORMAL;;394.0;302010000;;;;
1;10/11/2022;APROVADA;1852;774;507.0;5002629;13/12/2022;13258;ALTA;;8204.0;403050000;;;;
1;10/11/2022;APROVADA;1852;775;42867.0;5007319;10/11/2022;13070;NORMAL;;301.0;403050000;;;;
22;16/11/2022;APROVADA;1850;786;37431.0;5010346;16/11/2022;13140;MEDIA;;1185.0;302010000;;;;
18;16/11/2022;APROVADA;1850;787;1466220.0;5009292;23/11/2022;13209;ALTA;;351.86;999;ATENCAO COMPRAR SEGUINDO O MODELO ENVIADO POR EMAIL EXTREMA URGENCIA;;;
10;16/11/2022;APROVADA;1850;788;15757.0;5007364;22/11/2022;13202;ALTA;;2486.48;999;FAVOR SEGUIR MODELOS ENVIADO POR EMAIL O PURIFICADOR EU ESTOU DANDO ANDAMENTO;;;
8;17/11/2022;APROVADA;1850;791;441823.0;5002060;21/11/2022;13186;NORMAL;;219.9;999;LINK ENVIADO POR EMAIL;;;
1;17/11/2022;APROVADA;1850;792;276872.0;5000746;26/12/2022;13461;ALTA;;1758.97;999;LINK COM O MODELO POR EMAIL;;;
1;17/11/2022;APROVADA;1850;793;35272.0;5010297;17/11/2022;13169;NORMAL;;8894.4;403010000;;;;
